feature_kind,feature_ref,feature_id,input_index,sequence_id,contig_id,start,end,strand,result,is_cas,cas_family,class,type,subtype,profile,residue_count,repeat_count,spacer_count,cassette_id,profile_score,score_margin,model_score,method
cas_gene,cas_gene:casandra|contig=spyogenes_type_IIA_locus|cds=000007|loc=4751-8857|strand=+,casandra|contig=spyogenes_type_IIA_locus|cds=000007|loc=4751-8857|strand=+,0,casandra|contig=spyogenes_type_IIA_locus|cds=000007|loc=4751-8857|strand=+,spyogenes_type_IIA_locus,4751,8857,'+,Cas9,true,Cas9,,II,II-C,C25_Cas9_2,,,,casandra|contig=spyogenes_type_IIA_locus|cassette=0001|loc=4751-10064,1531.89404296875,1731.89404296875,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IIA_locus|cds=000008|loc=8857-9726|strand=+,casandra|contig=spyogenes_type_IIA_locus|cds=000008|loc=8857-9726|strand=+,1,casandra|contig=spyogenes_type_IIA_locus|cds=000008|loc=8857-9726|strand=+,spyogenes_type_IIA_locus,8857,9726,'+,Cas1,true,Cas1,,,,C25_Cas1_1,,,,casandra|contig=spyogenes_type_IIA_locus|cassette=0001|loc=4751-10064,181.61141967773438,381.6114196777344,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IIA_locus|cds=000009|loc=9723-10064|strand=+,casandra|contig=spyogenes_type_IIA_locus|cds=000009|loc=9723-10064|strand=+,2,casandra|contig=spyogenes_type_IIA_locus|cds=000009|loc=9723-10064|strand=+,spyogenes_type_IIA_locus,9723,10064,'+,Cas2,true,Cas2,,,,C25_Cas2_1,,,,casandra|contig=spyogenes_type_IIA_locus|cassette=0001|loc=4751-10064,63.49477767944336,263.49477767944336,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000003|loc=1879-2169|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000003|loc=1879-2169|strand=-,3,casandra|contig=spyogenes_type_IC_locus|cds=000003|loc=1879-2169|strand=-,spyogenes_type_IC_locus,1879,2169,'-,Cas2,true,Cas2,,,,C25_Cas2_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,108.19583129882812,308.1958312988281,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000004|loc=2183-3208|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000004|loc=2183-3208|strand=-,4,casandra|contig=spyogenes_type_IC_locus|cds=000004|loc=2183-3208|strand=-,spyogenes_type_IC_locus,2183,3208,'-,Cas1,true,Cas1,,,,C25_Cas1_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,363.3041076660156,563.3041076660156,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000005|loc=3205-3879|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000005|loc=3205-3879|strand=-,5,casandra|contig=spyogenes_type_IC_locus|cds=000005|loc=3205-3879|strand=-,spyogenes_type_IC_locus,3205,3879,'-,Cas4,true,Cas4,,,,C25_Cas4_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,258.6548767089844,458.6548767089844,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000006|loc=3881-4729|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000006|loc=3881-4729|strand=-,6,casandra|contig=spyogenes_type_IC_locus|cds=000006|loc=3881-4729|strand=-,spyogenes_type_IC_locus,3881,4729,'-,Cas7,true,Cas7,,I,,C25_Cas7_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,303.4380187988281,503.4380187988281,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000007|loc=4734-6629|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000007|loc=4734-6629|strand=-,7,casandra|contig=spyogenes_type_IC_locus|cds=000007|loc=4734-6629|strand=-,spyogenes_type_IC_locus,4734,6629,'-,Cas8c,true,Cas8c,,I,I-C,C25_Cas8c_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,359.2894592285156,559.2894592285156,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000008|loc=6629-7357|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000008|loc=6629-7357|strand=-,8,casandra|contig=spyogenes_type_IC_locus|cds=000008|loc=6629-7357|strand=-,spyogenes_type_IC_locus,6629,7357,'-,Cas5,true,Cas5,,I,,C25_Cas5_8__kira20260915,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,174.0583038330078,374.0583038330078,,
cas_gene,cas_gene:casandra|contig=spyogenes_type_IC_locus|cds=000010|loc=7490-9892|strand=-,casandra|contig=spyogenes_type_IC_locus|cds=000010|loc=7490-9892|strand=-,9,casandra|contig=spyogenes_type_IC_locus|cds=000010|loc=7490-9892|strand=-,spyogenes_type_IC_locus,7490,9892,'-,Cas3,true,Cas3,,I,,C25_Cas3_1,,,,casandra|contig=spyogenes_type_IC_locus|cassette=0001|loc=1879-9892,482.5826721191406,682.5826721191406,,
